               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.040055,            0.013975,            0.013851,            0.014002,             0.36566,            0.080446,             0.02515,            0.034848,            0.014855,            0.013145,           0.0052975,           0.0052975,           0.0052975
                  40,            0.040155,            0.013727,            0.013834,            0.024921,             0.01087,            0.013962,           0.0021508,             0.04025,            0.027123,            0.013566,           0.0051737,           0.0051737,           0.0051737
                  41,            0.040624,            0.013209,            0.013776,            0.017198,             0.42284,            0.096871,            0.030839,            0.033324,            0.015303,            0.013092,             0.00505,             0.00505,             0.00505
                  42,            0.039489,            0.013963,            0.013744,            0.057952,             0.28633,            0.081436,            0.023092,            0.034623,            0.014508,            0.013141,           0.0049263,           0.0049263,           0.0049263
                  43,            0.039877,            0.013812,            0.013741,           0.0014265,           0.0048077,           0.0027889,          0.00066179,             0.04089,            0.037805,            0.014256,           0.0048025,           0.0048025,           0.0048025
                  44,            0.039854,            0.013539,            0.013764,            0.095917,             0.32014,            0.099062,            0.029799,            0.033338,            0.015151,            0.013035,           0.0046788,           0.0046788,           0.0046788
                  45,            0.039628,            0.014164,            0.013805,            0.018909,             0.10972,            0.027979,           0.0082723,            0.035809,            0.018157,             0.01308,            0.004555,            0.004555,            0.004555
                  46,            0.040099,            0.013785,            0.013782,            0.017342,             0.42818,            0.096325,            0.029388,            0.033543,            0.014983,            0.012809,           0.0044313,           0.0044313,           0.0044313
                  47,            0.039672,            0.013683,            0.013705,            0.051553,             0.42427,             0.12609,            0.041422,            0.032287,            0.015153,            0.012667,           0.0043075,           0.0043075,           0.0043075
                  48,            0.039224,            0.013931,            0.013653,             0.18169,             0.20131,             0.10846,            0.035379,            0.032788,            0.014718,            0.012864,           0.0041837,           0.0041837,           0.0041837
                  49,            0.039834,             0.01389,            0.013737,            0.088307,             0.31084,            0.078098,            0.023061,            0.034398,            0.015851,            0.012958,             0.00406,             0.00406,             0.00406
                  50,            0.039601,            0.013377,            0.013646,          0.00026468,            0.020433,           0.0006078,          0.00016738,            0.041443,            0.015187,            0.015347,           0.0039362,           0.0039362,           0.0039362
                  51,            0.039606,            0.013806,            0.013719,             0.17625,             0.20842,             0.12434,             0.04084,              0.0325,             0.01535,            0.012411,           0.0038125,           0.0038125,           0.0038125
                  52,             0.03912,            0.014234,            0.013621,             0.15226,             0.25443,             0.10705,            0.032739,             0.03332,            0.015014,            0.012542,           0.0036888,           0.0036888,           0.0036888
                  53,            0.039781,            0.013492,            0.013671,            0.034378,             0.39061,            0.095725,            0.027502,             0.03404,            0.015085,            0.012657,            0.003565,            0.003565,            0.003565
                  54,            0.039593,             0.01363,            0.013628,             0.15843,             0.23575,             0.10243,            0.029966,            0.033455,             0.01473,            0.012545,           0.0034413,           0.0034413,           0.0034413
                  55,            0.039033,            0.014523,            0.013588,             0.22707,             0.11355,             0.12342,            0.037348,            0.032163,            0.014933,            0.012353,           0.0033175,           0.0033175,           0.0033175
                  56,            0.039288,             0.01358,             0.01358,            0.031503,            0.011962,            0.019896,           0.0083276,             0.03805,            0.024464,            0.012978,           0.0031938,           0.0031938,           0.0031938
                  57,            0.038788,            0.014041,            0.013474,           0.0026607,             0.05997,           0.0098521,            0.002342,            0.040915,            0.014826,             0.01368,             0.00307,             0.00307,             0.00307
                  58,            0.039204,            0.013351,            0.013519,          0.00090494,            0.043189,           0.0035957,          0.00068866,            0.041552,            0.013036,            0.013902,           0.0029462,           0.0029462,           0.0029462
                  59,            0.039144,            0.013923,            0.013495,          0.00055953,            0.031227,           0.0013508,          0.00022494,            0.041981,            0.012961,            0.014239,           0.0028225,           0.0028225,           0.0028225
                  60,            0.039006,            0.013794,            0.013462,          0.00055931,            0.032418,           0.0017611,          0.00030745,            0.041714,            0.013919,            0.014343,           0.0026987,           0.0026987,           0.0026987
                  61,            0.038944,            0.013897,            0.013427,            0.081077,            0.016758,            0.045222,            0.016173,            0.038823,            0.028254,            0.013017,            0.002575,            0.002575,            0.002575
                  62,             0.03896,            0.014195,            0.013523,          0.00050772,            0.024004,          0.00068295,          9.9775e-05,            0.041959,            0.012555,            0.014763,           0.0024513,           0.0024513,           0.0024513
                  63,            0.039744,            0.013701,             0.01365,          0.00053653,            0.030014,           0.0012005,          0.00015909,            0.042267,             0.01185,            0.014402,           0.0023275,           0.0023275,           0.0023275
                  64,            0.038866,            0.013729,            0.013442,          0.00085386,            0.043235,           0.0064505,           0.0012149,             0.04176,            0.012812,            0.014011,           0.0022038,           0.0022038,           0.0022038
                  65,            0.038806,            0.013686,            0.013438,             0.50324,             0.10171,             0.15537,            0.057121,            0.033049,            0.016363,            0.011779,             0.00208,             0.00208,             0.00208
                  66,            0.039534,            0.013556,            0.013543,             0.46227,             0.14344,             0.19485,            0.072346,            0.030688,            0.015241,            0.011392,           0.0019563,           0.0019563,           0.0019563
                  67,            0.038786,            0.013969,            0.013429,             0.39025,              0.2216,             0.18705,             0.06972,            0.030633,            0.014561,            0.011288,           0.0018325,           0.0018325,           0.0018325
