               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.11124,             0.14587,             0.05069,          0.00013889,           0.0065789,          7.4071e-05,          1.4643e-05,             0.10708,              0.1395,            0.049255,            0.065996,           0.0019962,           0.0019962
                  37,             0.11196,             0.13924,            0.049889,          0.00013889,           0.0065789,          7.4389e-05,          1.4687e-05,             0.10702,             0.13966,            0.049186,            0.065006,           0.0020059,           0.0020059
                  38,             0.11595,             0.16979,              0.0488,          0.00013889,           0.0065789,           7.412e-05,          1.4666e-05,             0.10692,              0.1398,            0.049103,            0.064013,           0.0020131,           0.0020131
                  39,             0.10887,             0.13123,            0.050035,          0.00013889,           0.0065789,          7.4406e-05,          1.4699e-05,             0.10685,             0.13992,            0.049044,            0.063018,           0.0020178,           0.0020178
                  40,             0.10786,             0.20725,            0.049406,          0.00013889,           0.0065789,          7.4302e-05,          1.4689e-05,             0.10681,             0.14002,            0.048972,             0.06202,             0.00202,             0.00202
                  41,             0.10826,             0.14196,            0.050409,          0.00013889,           0.0065789,          7.4372e-05,            1.47e-05,             0.10676,             0.14012,            0.048908,             0.06102,           0.0020198,           0.0020198
                  42,             0.10675,             0.16615,            0.049146,          0.00013889,           0.0065789,          7.4586e-05,          1.2324e-05,             0.10673,             0.14021,            0.048838,            0.060017,           0.0020171,           0.0020171
                  43,             0.10782,             0.15573,             0.04903,          0.00013889,           0.0065789,          7.4854e-05,          1.2364e-05,              0.1067,             0.14031,            0.048763,            0.059012,           0.0020119,           0.0020119
                  44,             0.10786,              0.1567,            0.049398,          0.00013889,           0.0065789,          7.4649e-05,          1.2334e-05,             0.10666,              0.1404,            0.048692,            0.058004,           0.0020042,           0.0020042
                  45,             0.10797,             0.17712,            0.049244,          9.2593e-05,            0.004386,          4.8783e-05,          9.7566e-06,             0.10665,             0.14047,            0.048619,            0.056994,           0.0019941,           0.0019941
                  46,             0.10945,             0.16728,            0.049086,          9.2593e-05,            0.004386,          4.8944e-05,          7.3319e-06,             0.10663,             0.14055,            0.048548,            0.055981,           0.0019815,           0.0019815
                  47,             0.11234,             0.14682,             0.04779,          9.2593e-05,            0.004386,          4.9107e-05,          7.3602e-06,             0.10662,             0.14061,            0.048486,            0.054966,           0.0019664,           0.0019664
                  48,             0.11062,             0.13563,            0.048916,          9.2593e-05,            0.004386,          4.9266e-05,           7.379e-06,              0.1066,             0.14068,            0.048415,            0.053949,           0.0019488,           0.0019488
                  49,             0.10702,             0.15445,            0.048829,          9.2593e-05,            0.004386,          4.9508e-05,          7.4202e-06,             0.10656,             0.14075,            0.048345,            0.052929,           0.0019288,           0.0019288
                  50,             0.10934,             0.17422,            0.048989,          9.2593e-05,            0.004386,          4.9686e-05,          7.4428e-06,              0.1065,              0.1408,            0.048276,            0.051906,           0.0019062,           0.0019062
                  51,             0.10656,             0.16518,            0.048001,          9.2593e-05,            0.004386,          4.9821e-05,          7.4686e-06,             0.10647,             0.14086,              0.0482,            0.050881,           0.0018813,           0.0018813
                  52,             0.10788,             0.14146,            0.048226,          9.2593e-05,            0.004386,           4.992e-05,          7.4875e-06,             0.10645,             0.14093,            0.048125,            0.049854,           0.0018538,           0.0018538
                  53,             0.10629,             0.16842,             0.04844,          9.2593e-05,            0.004386,          4.9988e-05,          7.5221e-06,             0.10642,             0.14099,            0.048052,            0.048824,           0.0018239,           0.0018239
                  54,             0.10672,             0.13957,             0.04894,          9.2593e-05,            0.004386,          5.0044e-05,          7.5277e-06,             0.10641,             0.14105,            0.047982,            0.047791,           0.0017914,           0.0017914
                  55,              0.1086,             0.14073,            0.048431,          9.2593e-05,            0.004386,          5.0192e-05,          7.5391e-06,             0.10639,              0.1411,            0.047911,            0.046757,           0.0017566,           0.0017566
                  56,             0.10767,             0.16597,            0.047827,          9.2593e-05,            0.004386,          5.0204e-05,          7.5615e-06,             0.10633,             0.14115,            0.047836,            0.045719,           0.0017192,           0.0017192
                  57,             0.10855,             0.17243,             0.04864,          9.2593e-05,            0.004386,          5.0225e-05,          7.5886e-06,              0.1063,              0.1412,            0.047772,            0.044679,           0.0016794,           0.0016794
                  58,             0.10828,              0.1819,            0.048181,          9.2593e-05,            0.004386,          5.0237e-05,          7.5865e-06,             0.10628,             0.14123,            0.047705,            0.043637,            0.001637,            0.001637
                  59,             0.10847,             0.18697,            0.047257,          9.2593e-05,            0.004386,           5.033e-05,          7.6015e-06,             0.10626,             0.14127,            0.047648,            0.042592,           0.0015923,           0.0015923
                  60,              0.1086,             0.14204,            0.048175,          9.2593e-05,            0.004386,          5.0327e-05,          5.0327e-06,             0.10627,              0.1413,            0.047586,            0.041545,            0.001545,            0.001545
                  61,              0.1078,             0.16388,            0.047772,          9.2593e-05,            0.004386,          5.0271e-05,          5.0271e-06,             0.10626,             0.14133,            0.047527,            0.040495,           0.0014953,           0.0014953
                  62,              0.1106,             0.16521,            0.049026,          9.2593e-05,            0.004386,          5.0268e-05,          5.0268e-06,             0.10626,             0.14136,            0.047477,            0.039443,            0.001443,            0.001443
                  63,             0.10633,              0.1443,            0.049204,          9.2593e-05,            0.004386,          5.0289e-05,          5.0289e-06,             0.10623,              0.1414,            0.047422,            0.038388,           0.0013884,           0.0013884
                  64,             0.11251,             0.15896,            0.049205,          9.2593e-05,            0.004386,          5.0308e-05,          5.0308e-06,             0.10621,             0.14142,            0.047373,            0.037331,           0.0013312,           0.0013312
                  65,             0.10874,              0.1479,            0.046798,          9.2593e-05,            0.004386,          5.0308e-05,          5.0308e-06,             0.10619,             0.14145,            0.047315,            0.036272,           0.0012716,           0.0012716
                  66,             0.10601,             0.13031,            0.047695,          9.2593e-05,            0.004386,          5.0292e-05,          5.0292e-06,             0.10619,             0.14148,            0.047262,            0.035209,           0.0012095,           0.0012095
                  67,             0.10645,             0.17471,            0.047844,          9.2593e-05,            0.004386,          5.0324e-05,          5.0324e-06,             0.10618,             0.14151,            0.047209,            0.034145,           0.0011449,           0.0011449
                  68,             0.10424,             0.18102,            0.047047,          9.2593e-05,            0.004386,          5.0255e-05,          5.0255e-06,             0.10617,             0.14154,            0.047153,            0.033078,           0.0010778,           0.0010778
                  69,             0.10526,             0.16509,            0.047799,          4.6296e-05,            0.002193,          2.5608e-05,          2.5608e-06,             0.10619,             0.14157,            0.047098,            0.032008,           0.0010083,           0.0010083
                  70,             0.10992,              0.1374,            0.047592,          4.6296e-05,            0.002193,          2.5583e-05,          2.5583e-06,             0.10619,              0.1416,            0.047046,            0.030936,          0.00093625,          0.00093625
                  71,             0.10978,             0.16484,            0.047541,          4.6296e-05,            0.002193,          2.5605e-05,          2.5605e-06,             0.10618,             0.14162,            0.046992,            0.029862,          0.00086176,          0.00086176
                  72,             0.10905,              0.1473,            0.048339,          4.6296e-05,            0.002193,          2.5692e-05,          2.5692e-06,             0.10617,             0.14165,            0.046942,            0.028785,           0.0007848,           0.0007848
                  73,             0.10506,             0.14799,            0.047139,          4.6296e-05,            0.002193,          2.5692e-05,          2.5692e-06,             0.10617,             0.14168,            0.046894,            0.027705,          0.00070536,          0.00070536
                  74,             0.10952,             0.14805,            0.047194,          4.6296e-05,            0.002193,          2.5645e-05,          2.5645e-06,             0.10616,              0.1417,            0.046845,            0.026623,          0.00062345,          0.00062345
                  75,             0.10589,             0.14746,            0.047735,          4.6296e-05,            0.002193,          2.5602e-05,          2.5602e-06,             0.10615,             0.14173,            0.046797,            0.025539,          0.00053906,          0.00053906
                  76,             0.10629,              0.1586,            0.046855,          4.6296e-05,            0.002193,          2.5599e-05,          2.5599e-06,             0.10614,             0.14175,            0.046751,            0.024452,           0.0004522,           0.0004522
                  77,             0.10819,             0.19401,            0.047346,          4.6296e-05,            0.002193,           2.552e-05,           2.552e-06,             0.10612,             0.14177,            0.046706,            0.023363,          0.00036286,          0.00036286
                  78,             0.10593,             0.17382,            0.046929,          4.6296e-05,            0.002193,          2.5567e-05,          2.5567e-06,             0.10611,             0.14179,            0.046662,            0.022271,          0.00027105,          0.00027105
                  79,             0.10711,             0.18286,            0.046379,          4.6296e-05,            0.002193,          2.5557e-05,          2.5557e-06,              0.1061,             0.14181,            0.046618,            0.021177,          0.00017676,          0.00017676
